L_anypoint_x,L_anypoint_y,R_anypoint_x,R_anypoint_y,Confidence
624.000,882.000,488.745,897.610,0.991
1260.000,1244.000,1180.949,1258.957,0.991
392.000,602.000,207.861,617.295,0.991
884.000,996.000,780.716,1011.367,0.991
624.000,810.000,490.046,826.247,0.991
648.000,682.000,520.528,699.036,0.991
480.000,746.000,312.657,761.210,0.991
876.000,464.000,850.595,479.771,0.991
1268.000,722.000,1250.851,737.931,0.991
696.000,874.000,576.793,889.724,0.991
2004.000,1212.000,1883.044,1228.440,0.990
868.000,874.000,764.583,889.103,0.990
696.000,714.000,575.950,728.651,0.990
1028.000,1308.000,916.526,1325.427,0.990
256.000,432.000,42.375,449.223,0.990
704.000,714.000,584.518,728.439,0.990
908.000,1276.000,803.503,1292.506,0.990
352.000,586.000,158.195,602.548,0.990
664.000,778.000,536.625,792.798,0.990
1196.000,1188.000,1123.456,1204.078,0.990
1236.000,1180.000,1163.870,1194.020,0.990
680.000,794.000,559.070,810.464,0.990
1012.000,1236.000,933.677,1251.883,0.990
1996.000,1212.000,1874.564,1227.804,0.990
1092.000,1164.000,1022.561,1179.617,0.990
980.000,1196.000,908.943,1212.480,0.990
1632.000,32.000,1591.579,55.442,0.990
424.000,690.000,246.989,706.178,0.989
1228.000,1188.000,1155.610,1203.232,0.989
700.000,802.000,580.907,818.233,0.989
892.000,1012.000,788.845,1027.338,0.989
648.000,674.000,519.037,690.522,0.989
1156.000,1180.000,1084.707,1195.273,0.989
884.000,1004.000,780.637,1018.011,0.989
1220.000,1196.000,1147.556,1211.057,0.989
1020.000,1316.000,908.069,1332.621,0.989
1440.000,1092.000,1422.332,1106.729,0.989
1268.000,714.000,1251.822,730.263,0.989
2436.000,938.000,2244.768,954.664,0.989
296.000,456.000,88.894,472.733,0.989
1172.000,1180.000,1098.939,1194.285,0.989
704.000,690.000,585.566,706.783,0.989
892.000,906.000,789.662,921.172,0.988
1100.000,1172.000,1028.347,1187.483,0.988
1432.000,1140.000,1414.098,1153.645,0.988
1132.000,1180.000,1058.248,1195.446,0.988
876.000,874.000,773.058,888.553,0.988
256.000,594.000,38.561,608.152,0.988
248.000,426.000,29.950,441.715,0.988
304.000,850.000,96.687,867.375,0.988
616.000,906.000,479.881,921.764,0.988
1400.000,1044.000,1382.771,1058.659,0.988
288.000,440.000,79.816,456.350,0.988
728.000,464.000,704.390,480.356,0.988
1196.000,1276.000,1108.646,1292.119,0.988
1228.000,1204.000,1156.185,1218.938,0.988
900.000,514.000,876.746,530.698,0.988
868.000,882.000,764.823,896.897,0.988
1728.000,658.000,1696.837,674.120,0.988
656.000,778.000,526.320,792.674,0.988
392.000,610.000,207.730,625.737,0.988
2276.000,336.000,2090.308,353.360,0.988
688.000,714.000,566.232,729.670,0.988
648.000,714.000,517.588,730.259,0.988
964.000,1124.000,875.885,1141.001,0.987
1092.000,1100.000,1053.042,1114.601,0.987
868.000,1140.000,774.294,1155.440,0.987
1004.000,1196.000,931.250,1209.716,0.987
1252.000,754.000,1234.634,769.303,0.987
240.000,586.000,22.897,601.300,0.987
1204.000,1124.000,1164.840,1138.732,0.987
1052.000,1156.000,980.075,1170.686,0.987
256.000,424.000,41.412,440.205,0.987
288.000,464.000,80.427,480.891,0.987
2284.000,344.000,2099.379,361.408,0.987
696.000,786.000,576.483,801.792,0.986
884.000,464.000,860.684,481.500,0.986
1020.000,1212.000,946.248,1226.659,0.986
504.000,674.000,344.733,690.670,0.986
1624.000,762.000,1598.960,778.511,0.986
1448.000,1148.000,1429.593,1162.789,0.986
964.000,1108.000,874.876,1123.572,0.986
1432.000,1068.000,1405.792,1082.816,0.986
1236.000,1188.000,1163.640,1202.193,0.986
248.000,586.000,31.460,602.066,0.986
392.000,586.000,207.239,602.142,0.986
1276.000,530.000,1251.976,546.033,0.986
900.000,914.000,797.524,929.208,0.986
352.000,626.000,158.853,642.611,0.986
240.000,562.000,22.980,578.115,0.986
416.000,810.000,231.670,826.600,0.986
1268.000,1252.000,1188.373,1267.103,0.986
1416.000,818.000,1401.700,833.406,0.986
684.000,802.000,562.395,818.687,0.986
1228.000,1316.000,1126.251,1331.449,0.985
900.000,922.000,797.574,936.913,0.985
504.000,834.000,345.198,849.356,0.985
868.000,730.000,763.106,745.528,0.985
956.000,1084.000,861.675,1099.348,0.985
440.000,738.000,265.740,754.926,0.985
1244.000,754.000,1227.286,768.961,0.985
868.000,1148.000,774.376,1163.773,0.985
1212.000,1204.000,1139.186,1219.746,0.985
696.000,810.000,576.177,825.837,0.985
712.000,706.000,593.676,720.828,0.985
1036.000,1204.000,962.906,1219.481,0.985
704.000,858.000,585.255,873.904,0.984
360.000,594.000,166.808,609.439,0.984
696.000,866.000,576.897,881.557,0.984
472.000,794.000,305.330,810.663,0.984
684.000,754.000,563.660,769.523,0.984
1720.000,658.000,1688.911,674.436,0.984
908.000,1292.000,803.127,1307.940,0.984
1408.000,818.000,1391.640,833.396,0.984
688.000,746.000,569.120,761.931,0.984
1244.000,762.000,1227.653,777.983,0.984
1728.000,666.000,1697.613,681.709,0.984
688.000,810.000,566.791,825.214,0.984
320.000,562.000,118.708,578.034,0.984
868.000,746.000,763.801,761.553,0.984
1336.000,544.000,1310.373,560.468,0.984
1204.000,1220.000,1121.879,1236.098,0.984
1268.000,482.000,1242.990,497.946,0.984
240.000,418.000,21.877,433.578,0.984
2452.000,930.000,2260.407,945.416,0.984
1156.000,1300.000,1060.482,1316.013,0.984
1236.000,1244.000,1157.107,1259.700,0.984
1004.000,1180.000,931.102,1193.821,0.984
696.000,706.000,575.765,721.386,0.984
980.000,1108.000,892.275,1123.454,0.983
360.000,626.000,168.629,643.159,0.983
1220.000,1132.000,1180.008,1146.937,0.983
1108.000,1180.000,1036.208,1194.298,0.983
868.000,1020.000,762.761,1034.863,0.983
432.000,730.000,256.230,746.875,0.983
696.000,834.000,576.680,849.303,0.983
704.000,874.000,584.497,889.368,0.983
424.000,682.000,247.150,697.009,0.983
616.000,810.000,478.725,824.840,0.983
1180.000,1188.000,1105.954,1203.446,0.983
1036.000,1116.000,997.630,1130.496,0.983
1028.000,1116.000,990.254,1130.682,0.983
376.000,738.000,184.142,754.126,0.983
352.000,602.000,158.294,617.134,0.983
504.000,802.000,342.573,818.853,0.983
504.000,754.000,342.987,770.071,0.982
1276.000,490.000,1251.527,507.143,0.982
704.000,810.000,585.304,826.119,0.982
688.000,874.000,566.493,889.927,0.982
1268.000,730.000,1249.970,746.128,0.982
1236.000,754.000,1219.703,768.835,0.982
624.000,762.000,489.882,777.409,0.982
376.000,826.000,184.156,842.024,0.982
384.000,586.000,199.108,602.484,0.982
1260.000,754.000,1241.648,768.631,0.982
1004.000,1188.000,930.913,1202.120,0.982
940.000,1260.000,845.197,1275.778,0.982
1220.000,1188.000,1146.858,1202.774,0.981
472.000,802.000,304.655,816.747,0.981
1100.000,1164.000,1029.949,1179.369,0.981
1084.000,1164.000,1013.573,1179.383,0.981
876.000,1004.000,771.770,1018.638,0.981
684.000,1028.000,562.647,1043.263,0.981
248.000,538.000,32.920,554.016,0.981
868.000,834.000,763.217,848.855,0.981
892.000,1100.000,796.943,1114.061,0.981
996.000,1204.000,924.962,1216.998,0.981
1172.000,1204.000,1098.617,1219.485,0.981
1736.000,658.000,1703.987,674.429,0.981
688.000,866.000,567.324,881.672,0.981
1020.000,1204.000,946.644,1219.771,0.981
664.000,826.000,537.141,842.217,0.981
1268.000,1244.000,1188.922,1258.831,0.981
1044.000,1164.000,971.557,1179.258,0.981
1736.000,650.000,1705.498,666.226,0.981
688.000,882.000,567.264,897.707,0.981
1116.000,1172.000,1043.094,1187.983,0.981
240.000,426.000,22.518,442.714,0.981
1052.000,1204.000,977.818,1218.628,0.980
1424.000,1068.000,1397.695,1083.023,0.980
1204.000,1132.000,1163.844,1146.727,0.980
692.000,1020.000,570.811,1035.056,0.980
248.000,594.000,31.778,609.502,0.980
908.000,522.000,883.945,537.650,0.980
696.000,746.000,577.701,762.269,0.980
1728.000,674.000,1697.151,690.457,0.980
1408.000,1044.000,1392.375,1058.383,0.980
1416.000,1068.000,1391.082,1082.867,0.980
728.000,456.000,703.639,472.679,0.980
1196.000,746.000,1122.849,762.877,0.980
1236.000,1260.000,1155.880,1274.815,0.980
1164.000,1180.000,1091.023,1194.760,0.980
704.000,722.000,584.394,736.591,0.980
900.000,906.000,797.828,921.411,0.980
892.000,1172.000,796.158,1188.688,0.980
424.000,698.000,247.090,714.579,0.980
408.000,810.000,222.992,826.729,0.980
512.000,754.000,353.037,768.901,0.980
700.000,682.000,582.020,698.017,0.980
1720.000,682.000,1689.615,700.164,0.979
696.000,882.000,576.357,897.493,0.979
868.000,1012.000,763.689,1027.201,0.979
1212.000,1164.000,1146.934,1178.766,0.979
616.000,874.000,478.181,890.054,0.979
408.000,802.000,224.469,817.600,0.979
1728.000,650.000,1697.141,666.173,0.979
656.000,1268.000,551.096,1285.979,0.979
1100.000,1100.000,1058.961,1114.707,0.979
248.000,434.000,31.494,451.729,0.979
796.000,474.000,773.017,490.873,0.979
688.000,850.000,566.999,866.260,0.979
320.000,538.000,117.500,554.306,0.979
868.000,826.000,763.885,840.677,0.979
876.000,882.000,772.789,897.107,0.979
448.000,810.000,273.093,826.038,0.979
504.000,810.000,342.584,825.122,0.979
616.000,898.000,479.567,912.017,0.979
1044.000,1156.000,971.243,1170.697,0.979
472.000,738.000,303.614,753.231,0.979
360.000,826.000,168.221,842.414,0.979
1440.000,1100.000,1422.003,1114.892,0.979
1432.000,1148.000,1413.825,1163.902,0.979
1084.000,1108.000,1045.735,1122.798,0.979
240.000,570.000,23.087,585.004,0.979
1344.000,544.000,1319.471,560.500,0.979
2452.000,914.000,2259.359,932.067,0.978
1196.000,754.000,1124.176,770.145,0.978
504.000,682.000,344.267,698.267,0.978
272.000,1020.000,57.847,1035.050,0.978
2452.000,938.000,2261.938,953.956,0.978
432.000,690.000,254.135,705.140,0.978
